marca_masina;anul_fabricatiei;pretul;km_parcursi;tip_combustibil;tip_caroserie;tip_cutie_de_viteza
Mazda;2015;11800;195400;Diesel;SUV;Automat?
Audi;2012;9000;173800;Benzin?;Hatchback;Manual?
Peugeot;2020;26950;25000;Benzin?;SUV;Automat?
Audi;2015;16500;106000;Benzin?;Berlin?;Automat?
Audi;2014;13200;14900;Diesel;Cabrio;Automat?
Opel;2022;18980;89000;Benzin?;SUV;Automat?
Dacia;2015;3800;140000;Benzin?;Berlin?;Manual?
Opel;2022;19990;74000;Benzin?;SUV;Automat?
Ford;2021;11989;168000;Benzin?;Hatchback;Manual?
Opel;2022;17990;86000;Benzin?;SUV;Automat?
Jeep;2022;20990;94000;Hibrid;SUV;Automat?
Jeep;2022;21490;71000;Hibrid;SUV;Automat?
Volkswagen;2009;3000;150000;Benzin?;Berlin?;Manual?
Kia;2011;4990;233000;Diesel;Hatchback;Manual?
BMW;2018;25949;190700;Hibrid;Berlin?;Automat?
Kia;2019;19990;119000;Benzin?;SUV;Automat?
Skoda;2011;3699;202000;Diesel;Monovolum;Manual?
Mercedes-Benz;2008;6250;248000;Diesel;Coupe;Automat?
Volkswagen;2007;2990;245000;Diesel;Berlin?;Manual?
Mazda;2015;8600;173000;Diesel;Break;Manual?
Volkswagen;2020;15000;22570;Electric;Hatchback;Automat?
Mazda;2015;11800;195400;Diesel;SUV;Automat?
Renault;2019;7999;80000;Benzin?;Hatchback;Manual?
SsangYong;2024;21000;4000;Benzin?;SUV;Automat?
Citroen;2014;6999;207000;Diesel;SUV;Semi-automat?
Toyota;2020;15900;184000;Hibrid;Break;Automat?
Dacia;2016;5900;195000;Benzin?;Monovolum;Manual?
Nissan;2019;13700;112000;Diesel;SUV;Manual?
Nissan;2010;6990;238392;Diesel;SUV;Manual?
Volkswagen;2009;5690;192393;Diesel;Monovolum;Manual?
Opel;2017;7500;72000;Benzin?;Hatchback;Manual?
SsangYong;2024;21000;4000;Benzin?;SUV;Automat?
Opel;2019;15950;161000;Diesel;Berlin?;Automat?
Renault;2017;9690;145000;Benzin?;SUV;Automat?
Skoda;2021;13449;169000;Benzin?;Hatchback;Automat?
Volkswagen;2015;9190;150000;Benzin?;Hatchback;Manual?
Mazda;2019;15450;132000;Diesel;Hatchback;Manual?
Toyota;2020;18950;71000;Benzin?;Berlin?;Automat?
Renault;2020;18950;158000;Benzin?;SUV;Automat?
Mazda;2021;15950;209000;Benzin?;Berlin?;Manual?
