marca_masina,anul_fabricatiei,pretul,km_parcursi,tip_combustibil,tip_caroserie,tip_cutie_de_viteza
Mazda,2015,11800,195400,Diesel,SUV,Automată
Audi,2012,9000,173800,Benzină,Hatchback,Manuală
Peugeot,2020,26950,25000,Benzină,SUV,Automată
Audi,2015,16500,106000,Benzină,Berlină,Automată
Audi,2014,13200,14900,Diesel,Cabrio,Automată
Opel,2022,18980,89000,Benzină,SUV,Automată
Dacia,2015,3800,140000,Benzină,Berlină,Manuală
Opel,2022,19990,74000,Benzină,SUV,Automată
Ford,2021,11989,168000,Benzină,Hatchback,Manuală
Opel,2022,17990,86000,Benzină,SUV,Automată
Jeep,2022,20990,94000,Hibrid,SUV,Automată
Jeep,2022,21490,71000,Hibrid,SUV,Automată
Volkswagen,2009,3000,150000,Benzină,Berlină,Manuală
Kia,2011,4990,233000,Diesel,Hatchback,Manuală
BMW,2018,25949,190700,Hibrid,Berlină,Automată
Kia,2019,19990,119000,Benzină,SUV,Automată
Skoda,2011,3699,202000,Diesel,Monovolum,Manuală
Mercedes-Benz,2008,6250,248000,Diesel,Coupe,Automată
Volkswagen,2007,2990,245000,Diesel,Berlină,Manuală
Mazda,2015,8600,173000,Diesel,Break,Manuală
Volkswagen,2020,15000,22570,Electric,Hatchback,Automată
Mazda,2015,11800,195400,Diesel,SUV,Automată
Renault,2019,7999,80000,Benzină,Hatchback,Manuală
SsangYong,2024,21000,4000,Benzină,SUV,Automată
Citroen,2014,6999,207000,Diesel,SUV,Semi-automată
Toyota,2020,15900,184000,Hibrid,Break,Automată
Dacia,2016,5900,195000,Benzină,Monovolum,Manuală
Nissan,2019,13700,112000,Diesel,SUV,Manuală
Nissan,2010,6990,238392,Diesel,SUV,Manuală
Volkswagen,2009,5690,192393,Diesel,Monovolum,Manuală
Opel,2017,7500,72000,Benzină,Hatchback,Manuală
SsangYong,2024,21000,4000,Benzină,SUV,Automată
Opel,2019,15950,161000,Diesel,Berlină,Automată
Renault,2017,9690,145000,Benzină,SUV,Automată
Skoda,2021,13449,169000,Benzină,Hatchback,Automată
Volkswagen,2015,9190,150000,Benzină,Hatchback,Manuală
Mazda,2019,15450,132000,Diesel,Hatchback,Manuală
Toyota,2020,18950,71000,Benzină,Berlină,Automată
Renault,2020,18950,158000,Benzină,SUV,Automată
Mazda,2021,15950,209000,Benzină,Berlină,Manuală
Volkswagen,2023,27990,64293,Benzină,SUV,Automată
Audi,2020,28449,214000,Diesel,Berlină,Automată
Skoda,2021,19990,197000,Benzină,Berlină,Automată
Opel,2011,4900,191300,Diesel,Berlină,Automată
Peugeot,2020,26950,25000,Benzină,SUV,Automată
Audi,2015,16500,106000,Benzină,Berlină,Automată
Skoda,2021,19990,197000,Benzină,Berlină,Automată
BMW,2019,26950,109000,Diesel,SUV,Automată
Skoda,2019,15489,186000,Benzină,Berlină,Automată
BMW,2012,12450,219000,Diesel,SUV,Automată
Volkswagen,2019,7990,95845,Benzină,Autovehicul mic,Manuală
Mercedes-Benz,2019,19990,170000,Benzină,Berlină,Manuală
Mercedes-Benz,2020,62950,121000,Diesel,SUV,Automată
Volkswagen,2010,6990,159000,Benzină,Hatchback,Automată
BMW,2019,49990,87000,Diesel,SUV,Automată
Renault,2016,11450,149560,Benzină,SUV,Automată
Mazda,2019,13490,179000,Benzină,Hatchback,Automată
Volkswagen,2018,43450,155000,Diesel,SUV,Automată
Volkswagen,2018,12450,175000,Benzină,Hatchback,Manuală
Peugeot,2019,16949,177000,Benzină,SUV,Automată
Volkswagen,2018,14989,232000,Diesel,Monovolum,Manuală
Ford,2021,14989,161000,Benzină,SUV,Manuală
Ford,2019,10949,189000,Benzină,Break,Manuală
Audi,2020,22449,174000,Benzină,Berlină,Automată
Peugeot,2017,15990,234000,Diesel,SUV,Automată
Dacia,2019,13749,75000,Diesel,SUV,Manuală
Volkswagen,2012,7100,154000,Benzină,Hatchback,Manuală
Hyundai,2016,16490,208000,Diesel,SUV,Automată
Opel,2020,15989,97500,Diesel,Berlină,Automată
Volkswagen,2019,7749,135700,Benzină,Autovehicul mic,Manuală
Kia,2012,6550,156000,Benzină,Hatchback,Manuală
Ford,2019,7949,217366,Diesel,Autovehicul mic,Manuală
Audi,2015,16500,106000,Benzină,Berlină,Automată
Opel,2011,4900,191300,Diesel,Berlină,Automată
